tpep_pickup_datetime,tpep_dropoff_datetime,DOLocationID,PULocationID,pickup_date,pickup_time
2015-07-01 08:34:14,2015-07-01 08:47:28,231,170,2015-07-01,08:34:14
2015-07-01 15:34:30,2015-07-01 15:46:07,236,239,2015-07-01,15:34:30
2015-07-01 15:46:04,2015-07-01 15:50:26,158,100,2015-07-01,15:46:04
2015-07-01 00:52:42,2015-07-01 00:58:33,75,163,2015-07-01,00:52:42
2015-07-01 14:05:16,2015-07-01 14:16:06,68,234,2015-07-01,14:05:16
2015-07-01 07:04:01,2015-07-01 07:09:09,163,161,2015-07-01,07:04:01
2015-07-01 18:26:41,2015-07-01 18:59:47,239,138,2015-07-01,18:26:41
2015-07-01 11:58:51,2015-07-01 12:38:00,114,138,2015-07-01,11:58:51
2015-07-01 22:28:26,2015-07-01 22:34:00,79,79,2015-07-01,22:28:26
2015-07-01 16:49:06,2015-07-01 16:53:26,230,230,2015-07-01,16:49:06
2015-07-01 19:17:46,2015-07-01 19:29:20,100,229,2015-07-01,19:17:46
2015-07-01 21:18:11,2015-07-01 21:38:37,234,263,2015-07-01,21:18:11
2015-07-01 10:28:17,2015-07-01 10:53:56,52,88,2015-07-01,10:28:17
2015-07-01 23:39:20,2015-07-02 00:03:54,189,246,2015-07-01,23:39:20
2015-07-01 19:13:18,2015-07-01 19:25:00,164,90,2015-07-01,19:13:18
2015-07-01 10:32:53,2015-07-01 10:58:55,158,237,2015-07-01,10:32:53
2015-07-01 22:42:53,2015-07-01 22:56:48,13,234,2015-07-01,22:42:53
2015-07-01 11:05:00,2015-07-01 11:32:48,161,152,2015-07-01,11:05:00
2015-07-01 08:25:24,2015-07-01 08:44:12,161,113,2015-07-01,08:25:24
2015-07-01 15:47:12,2015-07-01 15:59:57,186,68,2015-07-01,15:47:12
2015-07-01 05:55:17,2015-07-01 06:04:41,234,50,2015-07-01,05:55:17
2015-07-01 23:22:08,2015-07-01 23:33:02,239,90,2015-07-01,23:22:08
2015-07-01 22:56:24,2015-07-01 23:05:22,237,161,2015-07-01,22:56:24
2015-07-01 12:53:38,2015-07-01 13:00:19,186,249,2015-07-01,12:53:38
2015-07-01 20:07:21,2015-07-01 20:25:44,13,238,2015-07-01,20:07:21
2015-07-01 14:25:22,2015-07-01 14:36:59,229,140,2015-07-01,14:25:22
2015-07-01 09:38:31,2015-07-01 10:00:55,141,100,2015-07-01,09:38:31
2015-07-01 08:49:49,2015-07-01 09:08:10,163,100,2015-07-01,08:49:49
2015-07-01 23:06:18,2015-07-01 23:13:38,246,231,2015-07-01,23:06:18
2015-07-01 22:55:49,2015-07-01 23:00:10,232,148,2015-07-01,22:55:49
2015-07-01 07:49:54,2015-07-01 07:57:54,262,237,2015-07-01,07:49:54
2015-07-01 13:39:45,2015-07-01 13:53:31,142,163,2015-07-01,13:39:45
2015-07-01 23:24:15,2015-07-01 23:53:29,89,132,2015-07-01,23:24:15
2015-07-01 20:50:46,2015-07-01 21:00:04,229,170,2015-07-01,20:50:46
2015-07-01 07:56:22,2015-07-01 08:09:43,164,141,2015-07-01,07:56:22
2015-07-01 08:29:04,2015-07-01 08:36:36,45,87,2015-07-01,08:29:04
2015-07-01 14:46:58,2015-07-01 14:49:05,236,141,2015-07-01,14:46:58
2015-07-01 07:24:53,2015-07-01 07:52:28,75,211,2015-07-01,07:24:53
2015-07-01 13:51:20,2015-07-01 14:13:00,233,230,2015-07-01,13:51:20
2015-07-01 08:00:05,2015-07-01 08:08:10,75,236,2015-07-01,08:00:05
2015-07-01 12:55:30,2015-07-01 13:10:46,140,236,2015-07-01,12:55:30
2015-07-01 07:02:12,2015-07-01 07:16:23,161,231,2015-07-01,07:02:12
2015-07-01 20:50:47,2015-07-01 20:57:47,100,50,2015-07-01,20:50:47
2015-07-01 10:10:11,2015-07-01 10:18:10,236,151,2015-07-01,10:10:11
2015-07-01 23:08:40,2015-07-01 23:41:41,14,140,2015-07-01,23:08:40
2015-07-01 09:30:22,2015-07-01 10:11:15,140,68,2015-07-01,09:30:22
2015-07-01 03:48:32,2015-07-01 03:51:45,237,161,2015-07-01,03:48:32
2015-07-01 10:11:07,2015-07-01 10:20:20,164,163,2015-07-01,10:11:07
2015-07-01 07:59:17,2015-07-01 08:07:48,162,230,2015-07-01,07:59:17
2015-07-01 23:21:40,2015-07-01 23:40:20,228,144,2015-07-01,23:21:40
2015-07-01 18:30:35,2015-07-01 18:47:57,224,161,2015-07-01,18:30:35
2015-07-01 01:46:50,2015-07-01 01:53:36,230,164,2015-07-01,01:46:50
2015-07-01 13:30:17,2015-07-01 13:52:10,163,13,2015-07-01,13:30:17
2015-07-01 09:52:28,2015-07-01 09:54:18,239,236,2015-07-01,09:52:28
2015-07-01 07:29:12,2015-07-01 07:33:42,163,237,2015-07-01,07:29:12
2015-07-01 23:06:24,2015-07-01 23:15:21,211,170,2015-07-01,23:06:24
2015-07-01 08:04:33,2015-07-01 08:13:24,100,229,2015-07-01,08:04:33
2015-07-01 07:37:19,2015-07-01 07:58:02,163,152,2015-07-01,07:37:19
2015-07-01 23:42:26,2015-07-02 00:01:35,263,249,2015-07-01,23:42:26
2015-07-01 20:17:02,2015-07-01 20:25:22,43,162,2015-07-01,20:17:02
2015-07-01 21:23:44,2015-07-01 21:34:20,170,79,2015-07-01,21:23:44
2015-07-01 14:35:55,2015-07-01 14:45:35,161,229,2015-07-01,14:35:55
2015-07-01 13:33:04,2015-07-01 14:03:44,45,230,2015-07-01,13:33:04
2015-07-01 09:54:48,2015-07-01 10:19:29,88,75,2015-07-01,09:54:48
2015-07-01 08:04:43,2015-07-01 08:17:58,88,140,2015-07-01,08:04:43
2015-07-01 11:59:15,2015-07-01 12:14:35,161,162,2015-07-01,11:59:15
2015-07-01 19:35:55,2015-07-01 19:41:53,186,48,2015-07-01,19:35:55
2015-07-01 20:01:25,2015-07-01 20:12:40,112,148,2015-07-01,20:01:25
2015-07-01 20:54:18,2015-07-01 21:12:44,263,79,2015-07-01,20:54:18
2015-07-01 13:45:47,2015-07-01 13:56:09,236,162,2015-07-01,13:45:47
2015-07-01 13:15:39,2015-07-01 13:25:40,229,161,2015-07-01,13:15:39
2015-07-01 21:45:50,2015-07-01 22:09:56,228,144,2015-07-01,21:45:50
2015-07-01 17:27:24,2015-07-01 18:17:09,49,132,2015-07-01,17:27:24
2015-07-01 08:08:22,2015-07-01 08:32:05,164,263,2015-07-01,08:08:22
2015-07-01 18:28:27,2015-07-01 18:45:18,233,138,2015-07-01,18:28:27
2015-07-01 23:56:57,2015-07-02 00:13:37,151,230,2015-07-01,23:56:57
2015-07-01 19:51:15,2015-07-01 19:59:46,249,231,2015-07-01,19:51:15
2015-07-01 12:30:28,2015-07-01 12:36:40,234,246,2015-07-01,12:30:28
2015-07-01 21:18:42,2015-07-01 21:44:55,181,164,2015-07-01,21:18:42
2015-07-01 06:51:10,2015-07-01 07:37:53,97,132,2015-07-01,06:51:10
2015-07-01 09:57:46,2015-07-01 10:16:29,244,238,2015-07-01,09:57:46
2015-07-01 13:38:53,2015-07-01 13:52:47,13,246,2015-07-01,13:38:53
2015-07-01 17:52:36,2015-07-01 18:02:08,142,43,2015-07-01,17:52:36
2015-07-01 15:28:53,2015-07-01 15:38:11,237,142,2015-07-01,15:28:53
2015-07-01 00:28:58,2015-07-01 00:47:05,17,229,2015-07-01,00:28:58
2015-07-01 22:41:51,2015-07-01 22:49:41,170,79,2015-07-01,22:41:51
2015-07-01 01:56:46,2015-07-01 01:58:17,244,116,2015-07-01,01:56:46
2015-07-01 12:22:03,2015-07-01 12:25:08,142,143,2015-07-01,12:22:03
2015-07-01 00:18:59,2015-07-01 00:36:48,255,158,2015-07-01,00:18:59
2015-07-01 17:13:11,2015-07-01 17:23:47,87,231,2015-07-01,17:13:11
2015-07-01 01:08:28,2015-07-01 01:17:10,234,230,2015-07-01,01:08:28
2015-07-01 23:53:26,2015-07-02 00:03:51,87,107,2015-07-01,23:53:26
2015-07-01 23:10:07,2015-07-01 23:19:43,246,249,2015-07-01,23:10:07
2015-07-01 00:40:41,2015-07-01 00:47:49,112,37,2015-07-01,00:40:41
2015-07-01 11:36:45,2015-07-01 11:54:50,237,164,2015-07-01,11:36:45
2015-07-01 09:41:05,2015-07-01 10:03:47,161,186,2015-07-01,09:41:05
2015-07-01 15:18:22,2015-07-01 15:31:37,234,186,2015-07-01,15:18:22
2015-07-01 16:18:13,2015-07-01 16:36:48,237,164,2015-07-01,16:18:13
2015-07-01 00:16:55,2015-07-01 00:41:07,13,138,2015-07-01,00:16:55
2015-07-01 03:42:23,2015-07-01 03:49:50,234,231,2015-07-01,03:42:23
2015-07-01 17:28:22,2015-07-01 17:33:27,238,239,2015-07-01,17:28:22
2015-07-01 06:42:37,2015-07-01 06:48:45,162,141,2015-07-01,06:42:37
2015-07-01 22:44:52,2015-07-01 22:47:52,75,238,2015-07-01,22:44:52
2015-07-01 11:26:58,2015-07-01 11:28:16,163,163,2015-07-01,11:26:58
2015-07-01 10:29:20,2015-07-01 10:49:45,231,234,2015-07-01,10:29:20
2015-07-01 18:54:58,2015-07-01 19:12:35,13,234,2015-07-01,18:54:58
2015-07-01 19:25:06,2015-07-01 19:34:22,236,239,2015-07-01,19:25:06
2015-07-01 22:29:51,2015-07-01 22:35:24,170,162,2015-07-01,22:29:51
2015-07-01 10:35:11,2015-07-01 10:58:05,163,116,2015-07-01,10:35:11
2015-07-01 21:27:01,2015-07-01 21:29:44,137,224,2015-07-01,21:27:01
2015-07-01 23:19:10,2015-07-01 23:55:01,56,142,2015-07-01,23:19:10
2015-07-01 09:57:30,2015-07-01 10:23:49,231,231,2015-07-01,09:57:30
2015-07-01 07:41:04,2015-07-01 08:08:39,258,260,2015-07-01,07:41:04
2015-07-01 18:05:28,2015-07-01 18:28:44,45,43,2015-07-01,18:05:28
2015-07-01 09:32:27,2015-07-01 09:40:12,113,186,2015-07-01,09:32:27
2015-07-01 18:52:20,2015-07-01 18:56:00,141,163,2015-07-01,18:52:20
2015-07-01 03:19:35,2015-07-01 03:38:39,244,249,2015-07-01,03:19:35
2015-07-01 20:23:23,2015-07-01 20:31:09,142,236,2015-07-01,20:23:23
2015-07-01 22:47:37,2015-07-01 23:01:11,107,114,2015-07-01,22:47:37
2015-07-01 09:06:10,2015-07-01 09:12:59,238,143,2015-07-01,09:06:10
2015-07-01 23:54:43,2015-07-02 00:09:32,88,161,2015-07-01,23:54:43
2015-07-01 14:15:26,2015-07-01 14:23:51,141,262,2015-07-01,14:15:26
2015-07-01 12:51:20,2015-07-01 12:56:54,237,263,2015-07-01,12:51:20
2015-07-01 10:11:10,2015-07-01 10:17:29,238,239,2015-07-01,10:11:10
2015-07-01 13:47:00,2015-07-01 13:54:12,246,186,2015-07-01,13:47:00
2015-07-01 11:30:45,2015-07-01 11:39:31,170,162,2015-07-01,11:30:45
2015-07-01 22:17:25,2015-07-01 22:27:25,263,161,2015-07-01,22:17:25
2015-07-01 22:49:57,2015-07-01 22:55:28,229,141,2015-07-01,22:49:57
2015-07-01 10:31:04,2015-07-01 10:36:47,236,141,2015-07-01,10:31:04
2015-07-01 10:40:43,2015-07-01 10:50:12,230,164,2015-07-01,10:40:43
2015-07-01 18:19:26,2015-07-01 18:56:50,138,164,2015-07-01,18:19:26
2015-07-01 22:25:34,2015-07-01 22:41:55,237,87,2015-07-01,22:25:34
2015-07-01 15:22:50,2015-07-01 15:50:13,138,229,2015-07-01,15:22:50
2015-07-01 20:35:43,2015-07-01 20:56:38,162,239,2015-07-01,20:35:43
2015-07-01 21:02:07,2015-07-01 21:06:05,107,234,2015-07-01,21:02:07
2015-07-01 00:23:52,2015-07-01 00:34:02,230,114,2015-07-01,00:23:52
2015-07-01 23:14:36,2015-07-01 23:27:58,100,137,2015-07-01,23:14:36
2015-07-01 11:44:08,2015-07-01 11:54:17,170,234,2015-07-01,11:44:08
2015-07-01 18:56:58,2015-07-01 19:10:51,170,237,2015-07-01,18:56:58
2015-07-01 20:02:28,2015-07-01 20:08:07,249,211,2015-07-01,20:02:28
2015-07-01 10:12:34,2015-07-01 10:26:07,239,237,2015-07-01,10:12:34
2015-07-01 21:05:28,2015-07-01 21:13:33,229,262,2015-07-01,21:05:28
2015-07-01 10:10:53,2015-07-01 10:35:54,234,88,2015-07-01,10:10:53
2015-07-01 22:22:45,2015-07-01 22:38:29,79,145,2015-07-01,22:22:45
2015-07-01 11:21:45,2015-07-01 11:36:43,246,114,2015-07-01,11:21:45
2015-07-01 21:27:32,2015-07-01 21:31:47,162,229,2015-07-01,21:27:32
2015-07-01 10:59:12,2015-07-01 11:21:12,164,229,2015-07-01,10:59:12
2015-07-01 17:12:04,2015-07-01 17:39:41,186,231,2015-07-01,17:12:04
2015-07-01 21:59:04,2015-07-01 22:10:45,90,45,2015-07-01,21:59:04
2015-07-01 20:57:41,2015-07-01 21:13:34,166,50,2015-07-01,20:57:41
2015-07-01 19:51:03,2015-07-01 19:58:20,163,170,2015-07-01,19:51:03
2015-07-01 09:33:12,2015-07-01 09:52:49,113,13,2015-07-01,09:33:12
2015-07-01 22:26:42,2015-07-01 22:38:38,48,231,2015-07-01,22:26:42
2015-07-01 21:27:46,2015-07-01 21:40:17,230,68,2015-07-01,21:27:46
2015-07-01 21:31:28,2015-07-01 22:15:19,181,237,2015-07-01,21:31:28
2015-07-01 15:34:18,2015-07-01 15:38:04,234,186,2015-07-01,15:34:18
2015-07-01 10:04:19,2015-07-01 10:10:03,163,142,2015-07-01,10:04:19
2015-07-01 21:15:51,2015-07-01 21:24:26,142,236,2015-07-01,21:15:51
2015-07-01 20:43:16,2015-07-01 20:51:13,170,142,2015-07-01,20:43:16
2015-07-01 23:03:54,2015-07-01 23:07:02,163,142,2015-07-01,23:03:54
2015-07-01 19:26:05,2015-07-01 19:31:22,142,230,2015-07-01,19:26:05
2015-07-01 15:22:30,2015-07-01 15:28:50,239,151,2015-07-01,15:22:30
2015-07-01 23:15:33,2015-07-01 23:21:13,137,164,2015-07-01,23:15:33
2015-07-01 15:30:17,2015-07-01 15:45:54,230,233,2015-07-01,15:30:17
2015-07-01 01:55:53,2015-07-01 02:00:33,230,90,2015-07-01,01:55:53
2015-07-01 09:20:19,2015-07-01 09:34:46,163,229,2015-07-01,09:20:19
2015-07-01 10:17:26,2015-07-01 10:26:57,161,48,2015-07-01,10:17:26
2015-07-01 05:55:34,2015-07-01 05:59:25,230,186,2015-07-01,05:55:34
2015-07-01 11:03:46,2015-07-01 11:27:03,211,239,2015-07-01,11:03:46
2015-07-01 16:10:43,2015-07-01 16:26:12,17,33,2015-07-01,16:10:43
2015-07-01 07:41:25,2015-07-01 07:45:07,162,233,2015-07-01,07:41:25
2015-07-01 22:12:34,2015-07-01 22:28:33,230,113,2015-07-01,22:12:34
2015-07-01 12:26:13,2015-07-01 12:49:38,41,161,2015-07-01,12:26:13
2015-07-01 06:46:24,2015-07-01 06:54:37,230,68,2015-07-01,06:46:24
2015-07-01 08:04:02,2015-07-01 08:11:55,162,107,2015-07-01,08:04:02
2015-07-01 19:13:25,2015-07-01 19:37:42,230,144,2015-07-01,19:13:25
2015-07-01 21:22:44,2015-07-01 21:27:45,143,48,2015-07-01,21:22:44
2015-07-01 13:10:43,2015-07-01 13:28:59,234,246,2015-07-01,13:10:43
2015-07-01 04:33:51,2015-07-01 04:39:39,186,68,2015-07-01,04:33:51
2015-07-01 12:14:51,2015-07-01 12:44:52,138,261,2015-07-01,12:14:51
2015-07-01 04:17:11,2015-07-01 04:18:48,232,148,2015-07-01,04:17:11
2015-07-01 19:06:16,2015-07-01 19:22:35,217,25,2015-07-01,19:06:16
2015-07-01 20:13:30,2015-07-01 20:16:52,239,143,2015-07-01,20:13:30
2015-07-01 22:24:32,2015-07-01 22:29:33,100,246,2015-07-01,22:24:32
2015-07-01 15:55:15,2015-07-01 16:05:28,43,143,2015-07-01,15:55:15
2015-07-01 07:42:36,2015-07-01 08:04:43,13,237,2015-07-01,07:42:36
2015-07-01 13:44:18,2015-07-01 14:24:14,231,262,2015-07-01,13:44:18
2015-07-01 10:21:22,2015-07-01 10:48:41,87,162,2015-07-01,10:21:22
2015-07-01 14:10:15,2015-07-01 14:15:22,263,141,2015-07-01,14:10:15
2015-07-01 09:57:33,2015-07-01 10:18:46,163,141,2015-07-01,09:57:33
2015-07-01 17:23:15,2015-07-01 17:38:18,164,137,2015-07-01,17:23:15
2015-07-01 08:40:31,2015-07-01 08:51:12,162,48,2015-07-01,08:40:31
2015-07-01 09:46:02,2015-07-01 10:03:48,138,140,2015-07-01,09:46:02
2015-07-01 09:23:36,2015-07-01 10:01:19,234,138,2015-07-01,09:23:36
2015-07-01 13:59:23,2015-07-01 14:52:26,132,143,2015-07-01,13:59:23
2015-07-01 18:52:43,2015-07-01 19:10:17,238,231,2015-07-01,18:52:43
2015-07-01 10:42:00,2015-07-01 10:52:11,166,50,2015-07-01,10:42:00
2015-07-01 14:30:41,2015-07-01 14:48:15,113,170,2015-07-01,14:30:41
2015-07-01 07:29:30,2015-07-01 07:33:41,161,164,2015-07-01,07:29:30
2015-07-01 12:32:00,2015-07-01 13:10:31,189,132,2015-07-01,12:32:00
2015-07-01 18:12:05,2015-07-01 18:26:18,181,52,2015-07-01,18:12:05
2015-07-01 23:25:54,2015-07-01 23:31:21,237,263,2015-07-01,23:25:54
2015-07-01 20:34:08,2015-07-01 21:00:32,163,138,2015-07-01,20:34:08
2015-07-01 21:05:59,2015-07-01 21:11:31,237,161,2015-07-01,21:05:59
2015-07-01 09:03:04,2015-07-01 09:10:09,164,161,2015-07-01,09:03:04
2015-07-01 13:49:43,2015-07-01 13:53:12,170,164,2015-07-01,13:49:43
2015-07-01 13:52:12,2015-07-01 13:55:22,233,233,2015-07-01,13:52:12
2015-07-01 15:58:16,2015-07-01 16:02:59,113,125,2015-07-01,15:58:16
2015-07-01 00:45:30,2015-07-01 00:52:06,45,79,2015-07-01,00:45:30
2015-07-01 07:07:53,2015-07-01 07:10:29,142,142,2015-07-01,07:07:53
2015-07-01 14:26:48,2015-07-01 14:41:31,107,162,2015-07-01,14:26:48
2015-07-01 19:41:30,2015-07-01 19:56:00,236,164,2015-07-01,19:41:30
2015-07-01 15:03:20,2015-07-01 15:47:00,138,137,2015-07-01,15:03:20
2015-07-01 01:17:48,2015-07-01 01:21:28,48,142,2015-07-01,01:17:48
2015-07-01 15:35:43,2015-07-01 15:44:52,142,239,2015-07-01,15:35:43
2015-07-01 14:49:21,2015-07-01 15:11:36,236,164,2015-07-01,14:49:21
2015-07-01 10:09:25,2015-07-01 10:47:44,158,237,2015-07-01,10:09:25
2015-07-01 09:38:37,2015-07-01 09:45:07,142,50,2015-07-01,09:38:37
2015-07-01 15:28:31,2015-07-01 16:17:26,141,138,2015-07-01,15:28:31
2015-07-01 19:20:39,2015-07-01 19:25:54,249,234,2015-07-01,19:20:39
2015-07-01 10:50:14,2015-07-01 10:59:42,164,113,2015-07-01,10:50:14
2015-07-01 08:19:04,2015-07-01 08:29:00,162,170,2015-07-01,08:19:04
2015-07-01 16:05:48,2015-07-01 17:10:10,132,230,2015-07-01,16:05:48
2015-07-01 12:04:23,2015-07-01 12:24:02,148,161,2015-07-01,12:04:23
2015-07-01 19:46:44,2015-07-01 20:12:30,143,249,2015-07-01,19:46:44
2015-07-01 11:15:24,2015-07-01 11:31:24,246,230,2015-07-01,11:15:24
2015-07-01 06:57:45,2015-07-01 07:05:53,100,142,2015-07-01,06:57:45
2015-07-01 10:49:57,2015-07-01 10:53:38,246,68,2015-07-01,10:49:57
2015-07-01 16:26:29,2015-07-01 16:33:06,234,249,2015-07-01,16:26:29
2015-07-01 23:05:59,2015-07-01 23:24:13,229,114,2015-07-01,23:05:59
2015-07-01 23:34:09,2015-07-01 23:35:09,4,4,2015-07-01,23:34:09
2015-07-01 22:48:41,2015-07-01 22:54:35,162,170,2015-07-01,22:48:41
2015-07-01 20:18:12,2015-07-01 20:27:12,238,233,2015-07-01,20:18:12
2015-07-01 07:48:56,2015-07-01 07:56:05,236,151,2015-07-01,07:48:56
2015-07-01 11:39:21,2015-07-01 12:01:29,144,68,2015-07-01,11:39:21
2015-07-01 13:20:15,2015-07-01 13:33:08,236,151,2015-07-01,13:20:15
2015-07-01 08:38:35,2015-07-01 09:00:23,161,231,2015-07-01,08:38:35
2015-07-01 18:06:37,2015-07-01 18:20:12,186,234,2015-07-01,18:06:37
2015-07-01 11:54:09,2015-07-01 12:17:38,161,13,2015-07-01,11:54:09
2015-07-01 16:18:34,2015-07-01 16:35:35,68,144,2015-07-01,16:18:34
2015-07-01 09:33:04,2015-07-01 09:55:32,87,162,2015-07-01,09:33:04
2015-07-01 08:09:37,2015-07-01 08:22:41,161,186,2015-07-01,08:09:37
2015-07-01 20:59:58,2015-07-01 21:03:26,263,141,2015-07-01,20:59:58
2015-07-01 06:16:31,2015-07-01 06:23:17,230,143,2015-07-01,06:16:31
2015-07-01 14:08:43,2015-07-01 14:15:28,90,230,2015-07-01,14:08:43
2015-07-01 14:46:57,2015-07-01 14:52:10,236,140,2015-07-01,14:46:57
2015-07-01 23:17:10,2015-07-01 23:31:06,233,148,2015-07-01,23:17:10
2015-07-01 16:47:52,2015-07-01 17:06:34,140,230,2015-07-01,16:47:52
2015-07-01 13:27:31,2015-07-01 13:40:58,88,170,2015-07-01,13:27:31
2015-07-01 22:25:47,2015-07-01 22:36:20,152,50,2015-07-01,22:25:47
2015-07-01 16:17:38,2015-07-01 16:26:51,141,75,2015-07-01,16:17:38
2015-07-01 21:01:57,2015-07-01 21:08:17,164,162,2015-07-01,21:01:57
2015-07-01 07:57:14,2015-07-01 08:12:20,107,233,2015-07-01,07:57:14
2015-07-01 19:40:35,2015-07-01 19:53:46,7,263,2015-07-01,19:40:35
2015-07-01 21:05:55,2015-07-01 21:10:14,229,262,2015-07-01,21:05:55
2015-07-01 22:36:16,2015-07-01 23:06:29,211,161,2015-07-01,22:36:16
2015-07-01 08:25:51,2015-07-01 08:39:49,224,186,2015-07-01,08:25:51
2015-07-01 12:26:12,2015-07-01 12:45:01,237,229,2015-07-01,12:26:12
2015-07-01 13:37:16,2015-07-01 14:34:09,230,132,2015-07-01,13:37:16
2015-07-01 16:28:42,2015-07-01 16:33:25,132,132,2015-07-01,16:28:42
2015-07-01 15:55:27,2015-07-01 16:07:58,234,162,2015-07-01,15:55:27
2015-07-01 12:13:50,2015-07-01 12:25:41,211,170,2015-07-01,12:13:50
2015-07-01 15:18:58,2015-07-01 15:21:59,238,151,2015-07-01,15:18:58
